WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.83,76,77,10.67,broken clouds
125,Sur,OM,22.5667,59.5289,92.53,29,100,5.44,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,24.64,63,20,12.66,few clouds
127,Pingliang,CN,35.5392,106.6861,65.55,25,0,7.05,clear sky
128,Teguise,ES,29.0605,-13.564,64.62,77,20,19.57,few clouds
129,Bandarbeyla,SO,9.4942,50.8122,82.62,71,100,10.11,overcast clouds
130,Ust-Nera,RU,64.5667,143.2,3.43,95,100,8.55,overcast clouds
131,Kloulklubed,PW,7.0419,134.2556,72.1,77,100,18.28,light rain
132,Dawson,US,31.7735,-84.4466,50.38,52,0,15.66,clear sky
133,Dikson,RU,73.5069,80.5464,9.59,95,100,4.59,overcast clouds
134,Machhlishahr,IN,25.6833,82.4167,93.47,6,0,3.2,clear sky
135,Kulhudhuffushi,MV,6.6221,73.07,85.14,69,100,9.51,overcast clouds
136,Tiarei,PF,-17.5333,-149.3333,78.82,80,100,17.94,light rain
137,Airai,TL,-8.9266,125.4092,59.22,83,97,2.62,overcast clouds
138,Ngunguru,NZ,-35.6167,174.5,67.1,60,58,12.46,broken clouds
139,Zherdevka,RU,51.8486,41.4606,55.36,67,72,3.04,broken clouds
140,San Cristobal,VE,7.7669,-72.225,73.58,40,96,5.48,overcast clouds
141,Waitati,NZ,-45.75,170.5667,55.8,61,100,4.25,overcast clouds
142,Kaitangata,NZ,-46.2817,169.8464,51.46,83,26,9.6,scattered clouds
143,Tezu,IN,27.9167,96.1667,68.79,80,17,4.14,few clouds
144,Khatanga,RU,71.9667,102.5,3.15,99,66,5.84,broken clouds
145,Yatou,CN,37.15,122.3833,55.27,74,17,14.38,few clouds
146,Lagoa,PT,39.05,-27.9833,56.08,71,100,34.83,overcast clouds
147,San Patricio,US,28.017,-97.5169,71.87,56,0,9.46,clear sky
148,Ojinaga,MX,29.5667,-104.4167,58.15,26,0,3.44,clear sky
149,Vaini,TO,-21.2,-175.2,75.36,100,40,0.0,scattered clouds
150,Moussoro,TD,13.6408,16.4901,107.91,4,95,9.17,overcast clouds
151,Saravena,CO,6.9538,-71.8752,92.73,38,79,2.24,broken clouds
152,Mugur-Aksy,RU,50.35,90.5,21.06,62,6,12.71,clear sky
153,Yuli,NG,9.6989,10.2744,104.92,19,100,4.83,overcast clouds
154,Macusani,PE,-14.0833,-70.4333,44.74,63,100,3.02,overcast clouds
155,Walvis Bay,NA,-22.9575,14.5053,61.09,54,22,12.1,few clouds
156,Mabaruma,GY,8.2,-59.7833,81.59,78,49,6.8,scattered clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,75,12.66,broken clouds
158,Mayumba,GA,-3.432,10.6554,81.0,81,99,6.96,light rain
159,Bukachacha,RU,52.9833,116.9167,35.15,48,100,11.88,overcast clouds
160,Sioux Lookout,CA,50.1001,-91.917,15.87,79,20,2.3,few clouds
161,Trincomalee,LK,8.5711,81.2335,82.85,72,100,5.82,light rain
162,Onguday,RU,50.75,86.15,31.53,87,100,3.33,snow
163,Sangueya,GN,10.7,-14.3667,98.83,30,31,8.97,scattered clouds
164,Ormara,PK,25.2088,64.6357,81.9,73,14,13.22,few clouds
165,Bluff,NZ,-46.6,168.3333,57.22,79,88,20.76,overcast clouds
166,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,1.81,overcast clouds
167,Daru,PG,-9.0763,143.2092,80.4,79,100,7.63,overcast clouds
168,Ust-Kan,RU,50.9276,84.761,14.63,91,34,4.47,scattered clouds
169,Thompson,CA,55.7435,-97.8558,33.96,44,100,4.61,overcast clouds
170,Camacha,PT,33.0833,-16.3333,62.02,59,75,10.36,broken clouds
171,Bahir Dar,ET,11.5936,37.3908,85.48,20,9,12.53,clear sky
172,Yambio,SS,4.5721,28.3955,93.25,28,100,1.81,overcast clouds
173,Itoman,JP,26.1247,127.6694,72.37,85,20,13.8,few clouds
174,Aksu,CN,41.1231,80.2644,75.72,16,100,3.51,overcast clouds
175,La Tuque,CA,47.4334,-72.7824,37.65,81,81,6.91,broken clouds
176,Torbay,CA,47.6666,-52.7314,33.58,83,100,17.27,overcast clouds
177,Norilsk,RU,69.3535,88.2027,2.43,98,100,3.44,overcast clouds
178,Henties Bay,NA,-22.116,14.2845,65.57,69,1,10.65,clear sky
179,Lavrentiya,RU,65.5833,-171.0,6.67,96,100,4.63,light snow
180,Katsuura,JP,35.1333,140.3,62.78,83,0,18.23,clear sky
181,Guanica,PR,17.9716,-66.908,83.53,65,88,7.0,overcast clouds
182,Impfondo,CG,1.6381,18.0667,98.46,28,58,3.71,broken clouds
183,Menongue,AO,-14.6585,17.691,80.64,47,33,6.31,scattered clouds
184,Bethel,US,41.3712,-73.414,51.89,80,75,3.44,broken clouds
185,Ewa Beach,US,21.3156,-158.0072,75.15,75,0,6.91,clear sky
186,Porto Novo,BJ,6.4965,2.6036,82.22,55,80,11.18,broken clouds
187,Gusau,NG,12.1628,6.6614,103.44,14,99,1.36,overcast clouds
188,Peniche,PT,39.3558,-9.3811,60.46,86,98,11.63,overcast clouds
189,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.22,67,0,7.94,clear sky
190,Maligaya,PH,15.6742,120.8897,77.47,76,99,4.41,overcast clouds
191,Ballina,AU,-28.8667,153.5667,69.76,86,79,6.91,broken clouds
192,Souillac,MU,-20.5167,57.5167,80.98,78,75,6.91,broken clouds
193,Ulladulla,AU,-35.35,150.4667,63.77,92,57,4.76,broken clouds
194,Bereda,ES,43.2686,-7.5406,65.14,54,61,3.22,broken clouds
195,Bangassou,CF,4.7413,22.8184,98.26,27,50,4.29,scattered clouds
196,Sorland,NO,67.667,12.6934,38.82,67,51,13.94,broken clouds
197,Abalak,RU,58.1286,68.5944,32.83,89,62,2.82,broken clouds
