City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Praia,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
541,Mawlaik,MM,84.11,broken clouds,23.6333,94.4167,AKZ Guest House
544,Rocha,UY,76.87,clear sky,-34.4833,-54.3333,Hotel Arrarte
545,Bodden Town,KY,80.92,scattered clouds,19.2833,-81.25,Will T Place
546,Le Vauclin,MQ,79.84,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
547,Guarapari,BR,85.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
552,Shache,CN,75.74,overcast clouds,38.4167,77.2406,Delong Hotel
553,Mashhad,IR,84.34,overcast clouds,36.297,59.6062,Khanye Sabz Hotel
555,Aspe,ES,76.55,scattered clouds,38.3451,-0.7672,Hotel Restaurante Palacios
558,Bilaspur,IN,92.12,scattered clouds,22.0833,82.15,Hotel East Park
559,Hwange,ZW,79.03,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
566,Mayuge,UG,81.81,scattered clouds,0.4597,33.4803,Kagolo Bar and Lodge
568,Fayaoue,NC,81.34,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
571,Mitu,CO,79.02,overcast clouds,1.1983,-70.1733,
573,Sabang,ID,84.07,overcast clouds,5.8933,95.3214,Hotel Citra
575,Blackwater,AU,70.95,few clouds,-23.5833,148.8833,Blackwater Motor Inn
577,Uruacu,BR,88.39,clear sky,-14.5247,-49.1408,Cassius Hotel
578,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
580,Payo,ID,73.47,overcast clouds,-3.7508,103.6372,Mess keban agung
582,Buchanan,LR,86.27,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
583,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
584,Caraballeda,VE,86.86,few clouds,10.6112,-66.8522,Hotel 15 Letras
586,Ifanadiana,MG,72.88,light rain,-21.3,47.6333,
589,Pacasmayo,PE,70.81,overcast clouds,-7.4006,-79.5714,Hotel Libertad
590,Mogadishu,SO,87.67,scattered clouds,2.0371,45.3438,Hotel Juba
591,Karratha,AU,85.59,clear sky,-20.7377,116.8463,ibis Styles Karratha
594,Chichica,PA,76.35,overcast clouds,8.4922,-82.1627,
595,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
600,Tautira,PF,80.22,light rain,-17.7333,-149.15,Pension Oaoa
601,Auki,SB,77.67,broken clouds,-8.7676,160.7034,Auki Motel
604,Lira,UG,94.82,broken clouds,2.235,32.9097,ST Lira Hotel Limited
607,Damghan,IR,79.48,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
609,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
610,Abu Dhabi,AE,93.22,clear sky,24.4667,54.3667,Beach Rotana
614,Dhilwan,IN,90.95,clear sky,31.5169,75.35,Janj Ghar
617,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
619,Mahajanga,MG,84.78,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
625,Abonnema,NG,82.85,light rain,4.7084,6.7931,Corper's Lodge Obonoma
628,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
634,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
635,Esmeraldas,BR,77.86,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
640,Bayeux,BR,86.63,scattered clouds,-7.125,-34.9322,Infinity Motel
641,Itaituba,BR,82.56,broken clouds,-4.2761,-55.9836,Hotel Campos
643,Zhanakorgan,KZ,72.93,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
644,Kayankulam,IN,77.2,light rain,9.1833,76.5,Hotel Indraprastha
646,Uthal,PK,85.86,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
648,Tual,ID,84.11,broken clouds,-5.6667,132.75,Grand Vilia Hotel
649,Salinopolis,BR,76.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
650,Viamao,BR,73.67,broken clouds,-30.0811,-51.0233,OM B&B + Spa
